Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
canyon_cliff_dwellings,POI,POIName,,x,x,Canyon Cliff Dwellings,,,,,,,,,,,,,
canyon_gift_shop,POI,POIName,,x,x,Canyon Gift Shop & Diner,,,,,,,,,,,,,
canyon_mine,POI,POIName,,x,x,Canyon Mine,,,,,,,,,,,,,
carlot_01,POI,POIName,,x,x,Joey's Carlot,,,,,,,,,,,,,
carlot_02,POI,POIName,,x,x,Carl's Cars,,,,,,,,,,,,,
cave_01,POI,POIName,,x,x,Steer Gulch,,,,,,,,,,,,,
cave_02,POI,POIName,,x,x,Pete's Hidey Hole,,,,,,,,,,,,,
cave_03,POI,POIName,,x,x,Mushroom Mining Company,,,,,,,,,,,,,
cave_04,POI,POIName,,x,x,Hobo Cave,,,,,,,,,,,,,
cave_05,POI,POIName,,x,x,Nav Mt. Cave,,,,,,,,,,,,,
cave_06,POI,POIName,,x,x,Corkscrew Caverns,,,,,,,,,,,,,
cave_07,POI,POIName,,x,x,Rotten Cavern,,,,,,,,,,,,,
cave_09,POI,POIName,,x,x,Aranea Caverns,,,,,,,,,,,,,
cave_10,POI,POIName,,x,x,Crossvein Caverns,,,,,,,,,,,,,
cave_11,POI,POIName,,x,x,Carlsgood Caverns,,,,,,,,,,,,,
cave_12,POI,POIName,,x,x,Spelunker's Surprise,,,,,,,,,,,,,
cave_14,POI,POIName,,x,x,The Secret Chamber,,,,,,,,,,,,,
cave_17,POI,POIName,,x,x,Nameless Caverns,,,,,,,,,,,,,
cave_18,POI,POIName,,x,x,Devil's Cauldron,,,,,,,,,,,,,
cave_19,POI,POIName,,x,x,The Breather's Pocket,,,,,,,,,,,,,
cave_20,POI,POIName,,x,x,The Eater's Gate,,,,,,,,,,,,,
cemetery_01,POI,POIName,,x,x,Mausoleums,,,,,,,,,,,,,
cemetery_02,POI,POIName,,x,x,Crypts,,,,,,,,,,,,,
church_01,POI,POIName,,x,x,St. Moe's Cathedral,,,,,,,,,,,,,
church_02,POI,POIName,,x,x,St. Mark's Church,,,,,,,,,,,,,
church_sm_01,POI,POIName,,x,x,Navezgane Church of Brick,,,,,,,,,,,,,
city_center_01,POI,POIName,,x,x,Olgiddy & Brother Advertising,,,,,,,,,,,,,
commercial_strip_01,POI,POIName,,x,x,Shady Square Shoppe,,,,,,,,,,,,,
commercial_strip_02,POI,POIName,,x,x,Treats Terrace,,,,,,,,,,,,,
commercial_strip_03,POI,POIName,,x,x,Vick Garrison's Pedipawn,,,,,,,,,,,,,
commercial_strip_04,POI,POIName,,x,x,Smorgasbord Square,,,,,,,,,,,,,
commercial_strip_05,POI,POIName,,x,x,Elzner's Emporium,,,,,,,,,,,,,
commercial_strip_07,POI,POIName,,x,x,Elite Essentials,,,,,,,,,,,,,
country_junkyard_01,POI,POIName,,x,x,Junkin,,,,,,,,,,,,,
country_junkyard_02,POI,POIName,,x,x,Atlas Metal Company,,,,,,,,,,,,,
countrytown_bank_01,POI,POIName,,x,x,Blue Fin Bank,,,,,,,,,,,,,
countrytown_bank_05,POI,POIName,,x,x,HNN Bank County Branch #5,,,,,,,,,,,,,
countrytown_book_01,POI,POIName,,x,x,The Book Nook,,,,,,,,,,,,,
countrytown_book_02,POI,POIName,,x,x,Crypt Keeper Comics,,,,,,,,,,,,,
countrytown_business_01,POI,POIName,,x,x,Pink Penny's,,,,,,,,,,,,,
countrytown_business_02,POI,POIName,,x,x,Federal Appliance,,,,,,,,,,,,,
countrytown_business_03,POI,POIName,,x,x,The Bear Den,,,,,,,,,,,,,
countrytown_business_04,POI,POIName,,x,x,Aldos Cabinet,,,,,,,,,,,,,
countrytown_business_05,POI,POIName,,x,x,Butcher Pete's,,,,,,,,,,,,,
countrytown_business_06,POI,POIName,,x,x,Red Ruby's,,,,,,,,,,,,,
countrytown_business_07,POI,POIName,,x,x,Maggie's Corner Cafe,,,,,,,,,,,,,
countrytown_business_08,POI,POIName,,x,x,Wildfire Camping,,,,,,,,,,,,,
countrytown_business_09,POI,POIName,,x,x,4 Ever Video,,,,,,,,,,,,,
countrytown_business_10,POI,POIName,,x,x,Bobcats Bar,,,,,,,,,,,,,
countrytown_business_11,POI,POIName,,x,x,Midway Clinic,,,,,,,,,,,,,
countrytown_business_12,POI,POIName,,x,x,Jim & Tim's Bullets and Booze,,,,,,,,,,,,,
countrytown_business_13,POI,POIName,,x,x,The Dead Rooster,,,,,,,,,,,,,
countrytown_business_14,POI,POIName,,x,x,Grumpy's Pub,,,,,,,,,,,,,
countrytown_business_15,POI,POIName,,x,x,Uncle Ray's Supermarket,,,,,,,,,,,,,
countrytown_business_16,POI,POIName,,x,x,Crazy Billy's Used Cars,,,,,,,,,,,,,
countrytown_business_17,POI,POIName,,x,x,Glove Affair Boxing Gym,,,,,,,,,,,,,
countrytown_business_18,POI,POIName,,x,x,Atomic Bodega,,,,,,,,,,,,,
countrytown_church_01,POI,POIName,,x,x,Mission Refuge,,,,,,,,,,,,,
countrytown_church_02,POI,POIName,,x,x,Church Of The Blinding Faith,,,,,,,,,,,,,
countrytown_church_05,POI,POIName,,x,x,Saint Christine Mission,,,,,,,,,,,,,
countrytown_fire_01,POI,POIName,,x,x,Navezgane Community Fire Dept,,,,,,,,,,,,,
countrytown_fire_02,POI,POIName,,x,x,Navezgane Fire District #5,,,,,,,,,,,,,
countrytown_police_01,POI,POIName,,x,x,Navezgane Sheriff's Department,,,,,,,,,,,,,
countrytown_postoffice_01,POI,POIName,,x,x,Post Office #3,,,,,,,,,,,,,
courthouse_med_01,POI,POIName,,x,x,Town Hall,,,,,,,,,,,,,
departure_city_blk_01,POI,POIName,,x,x,Departure,,,,,,,,,,,,,
departure_city_blk_plaza,POI,POIName,,x,x,Departure Plaza,,,,,,,,,,,,,
diersville_city_blk_01,POI,POIName,,x,x,Diersville,,,,,,,,,,,,,
diersville_city_blk_02,POI,POIName,,x,x,Diersville,,,,,,,,,,,,,
diersville_city_sign_01,POI,POIName,,x,x,Diersville,,,,,,,,,,,,,
diner_01,POI,POIName,,x,x,The Greasy Spoon,,,,,,,,,,,,,
diner_02,POI,POIName,,x,x,Bob's Cafe,,,,,,,,,,,,,
diner_03,POI,POIName,,x,x,Del's Cafe,,,,,,,,,,,,,
diner_04,POI,POIName,,x,x,Dick's Diner,,,,,,,,,,,,,
diner_07,POI,POIName,,x,x,Navezgane Falls Diner,,,,,,,,,,,,,
docks_01,POI,POIName,,x,x,BJ's Gas Dock,,,,,,,,,,,,,
docks_02,POI,POIName,,x,x,Pal's Marina,,,,,,,,,,,,,
docks_03,POI,POIName,,x,x,Haulwell Freight,,,,,,,,,,,,,
docks_04,POI,POIName,,x,x,Middleman Docks,,,,,,,,,,,,,
docks_05,POI,POIName,,x,x,"Hook, Line, & Sinker",,,,,,,,,,,,,
downtown_building_01,POI,POIName,,x,x,Buy-N-Go Apartments,,,,,,,,,,,,,
downtown_building_02,POI,POIName,,x,x,Pergola Apartments,,,,,,,,,,,,,
downtown_building_03,POI,POIName,,x,x,Stand Tower,,,,,,,,,,,,,
downtown_building_04,POI,POIName,,x,x,Blaze & Burns Offices,,,,,,,,,,,,,
downtown_building_05,POI,POIName,,x,x,Bombshell News,,,,,,,,,,,,,
downtown_business_06,POI,POIName,,x,x,Special Totz,,,,,,,,,,,,,
downtown_business_07,POI,POIName,,x,x,Doggos,,,,,,,,,,,,,
downtown_filler_01,POI,POIName,,x,x,Lazy Fitness,,,,,,,,,,,,,
downtown_filler_02,POI,POIName,,x,x,Le Spank,,,,,,,,,,,,,
downtown_filler_03,POI,POIName,,x,x,Schittz Law,,,,,,,,,,,,,
downtown_filler_04,POI,POIName,,x,x,z-work,,,,,,,,,,,,,
downtown_filler_05,POI,POIName,,x,x,Trilogy Suites,,,,,,,,,,,,,
downtown_filler_06,POI,POIName,,x,x,Downtown Apartments,,,,,,,,,,,,,
downtown_filler_07,POI,POIName,,x,x,Dumpsy Clinic,,,,,,,,,,,,,
downtown_filler_09,POI,POIName,,x,x,Century Outlet,,,,,,,,,,,,,
downtown_filler_11,POI,POIName,,x,x,Fit Box,,,,,,,,,,,,,
downtown_filler_12,POI,POIName,,x,x,Town Square Apartments,,,,,,,,,,,,,
downtown_filler_13,POI,POIName,,x,x,Luigi's Pizza,,,,,,,,,,,,,
downtown_filler_14,POI,POIName,,x,x,Post Office Apartment,,,,,,,,,,,,,
downtown_filler_15,POI,POIName,,x,x,Downtown Shamway,,,,,,,,,,,,,
downtown_filler_21,POI,POIName,,x,x,Meat You Here Butchery,,,,,,,,,,,,,
downtown_filler_22,POI,POIName,,x,x,Law & Order Square,,,,,,,,,,,,,
downtown_filler_23,POI,POIName,,x,x,HNN Bank,,,,,,,,,,,,,
downtown_filler_24,POI,POIName,,x,x,Ann Hoing's Telemarketing,,,,,,,,,,,,,
downtown_filler_25,POI,POIName,,x,x,Mamma Pizza,,,,,,,,,,,,,
downtown_filler_26,POI,POIName,,x,x,Hooligan's Corner,,,,,,,,,,,,,
downtown_filler_27,POI,POIName,,x,x,OK Laundry,,,,,,,,,,,,,
downtown_filler_29,POI,POIName,,x,x,The Molar & Moral Building,,,,,,,,,,,,,
downtown_filler_30,POI,POIName,,x,x,KLZ Radio,,,,,,,,,,,,,
downtown_filler_31,POI,POIName,,x,x,Downtown MeltDowns,,,,,,,,,,,,,
downtown_filler_park_01,POI,POIName,,x,x,Loan Tree Park,,,,,,,,,,,,,
downtown_filler_park_02,POI,POIName,,x,x,Gazebo Park,,,,,,,,,,,,,
downtown_filler_park_03,POI,POIName,,x,x,Crosswalk Park,,,,,,,,,,,,,
downtown_filler_park_04,POI,POIName,,x,x,Detour Park,,,,,,,,,,,,,
downtown_filler_park_05,POI,POIName,,x,x,Arch Park,,,,,,,,,,,,,
downtown_filler_plaza_01,POI,POIName,,x,x,Obelisk Plaza,,,,,,,,,,,,,
downtown_filler_plaza_02,POI,POIName,,x,x,Square Water Plaza,,,,,,,,,,,,,
downtown_filler_plaza_03,POI,POIName,,x,x,Step Water Plaza,,,,,,,,,,,,,
downtown_filler_plaza_04,POI,POIName,,x,x,Garden Plaza,,,,,,,,,,,,,
downtown_filler_plaza_05,POI,POIName,,x,x,Memorial Plaza,,,,,,,,,,,,,
downtown_park_01,POI,POIName,,x,x,Shady Pointe Park,,,,,,,,,,,,,
downtown_park_02,POI,POIName,,x,x,Federal Plaza,,,,,,,,,,,,,
downtown_park_03,POI,POIName,,x,x,Civic Square,,,,,,,,,,,,,
downtown_parking_lot_01,POI,POIName,,x,x,Downtown Evacuation Point,,,,,,,,,,,,,
downtown_strip_01,POI,POIName,,x,x,Flushing Rule Palace,,,,,,,,,,,,,
downtown_strip_02,POI,POIName,,x,x,Richard Munchz Plaza,,,,,,,,,,,,,
downtown_strip_03,POI,POIName,,x,x,Pete's Outlet,,,,,,,,,,,,,
downtown_strip_04,POI,POIName,,x,x,Joe's Junction,,,,,,,,,,,,,
downtown_strip_05,POI,POIName,,x,x,Downtown Marketplace,,,,,,,,,,,,,
downtown_strip_07,POI,POIName,,x,x,Holvez Rent-a-Car,,,,,,,,,,,,,
downtown_strip_09,POI,POIName,,x,x,Pop's Pawn & Bel's Bakery,,,,,,,,,,,,,
downtown_strip_10,POI,POIName,,x,x,The Boobie Trap,,,,,,,,,,,,,
downtown_strip_11,POI,POIName,,x,x,Diamond's Mens Club,,,,,,,,,,,,,
downtown_strip_12,POI,POIName,,x,x,NFD Downtown HQ,,,,,,,,,,,,,
factory_01,POI,POIName,,x,x,Shamway Factory,,,,,,,,,,,,,
factory_02,POI,POIName,,x,x,Shotgun Messiah Factory,,,,,,,,,,,,,
factory_03,POI,POIName,,x,x,Pop-N-Pills Factory,,,,,,,,,,,,,
farm_01,POI,POIName,,x,x,Jericho Ranch,,,,,,,,,,,,,
farm_02,POI,POIName,,x,x,Scarecrow Fields,,,,,,,,,,,,,
farm_03,POI,POIName,,x,x,Huenink Family Farms,,,,,,,,,,,,,
farm_04,POI,POIName,,x,x,Animal Hospital,,,,,,,,,,,,,
farm_05,POI,POIName,,x,x,Fiery Farms,,,,,,,,,,,,,
farm_06,POI,POIName,,x,x,Fortified Farm,,,,,,,,,,,,,
farm_07,POI,POIName,,x,x,The Shady Swine,,,,,,,,,,,,,
farm_08,POI,POIName,,x,x,Sweet Sweet Honey Pot Farms,,,,,,,,,,,,,
farm_10,POI,POIName,,x,x,Red Barn Bed-n-Bath,,,,,,,,,,,,,
farm_11,POI,POIName,,x,x,Smithstone Silos,,,,,,,,,,,,,
farm_12,POI,POIName,,x,x,Abandoned Shady Shed Farms,,,,,,,,,,,,,
farm_13,POI,POIName,,x,x,Mason Farms,,,,,,,,,,,,,
farm_14,POI,POIName,,x,x,Hersh Farm,,,,,,,,,,,,,
farm_15,POI,POIName,,x,x,Hogzilla Ranch LLC,,,,,,,,,,,,,
farm_16,POI,POIName,,x,x,Judy Witch,,,,,,,,,,,,,
farm_17,POI,POIName,,x,x,McPherson UFO Museum,,,,,,,,,,,,,
farm_18,POI,POIName,,x,x,McOivey Farms,,,,,,,,,,,,,
farm_20,POI,POIName,,x,x,Sprout & Sons Nursery,,,,,,,,,,,,,
